Gene name,Ensembl ID,lead SNP,Trait,Other Traits GWAS significant in meta-analysis,chr,Variant_posa,Entrez ID,Biotype,Distanceb,<500kbpc,GWAS Hitd,All_evidencee,MostSevereConsequencef,PPC_Gene_MODERATEandHIGHg,EO_OAh,"bone diseases, developmentali",Coloc_Tissuesj,Piccolo_Tissuesk,MetaXcan_Tissuesl,Animal_Skeletonm,Prot_logFCn,Prot_FDRo,RNASeq_logFCp,RNASeq_FDRq,msh_Mendelr
RC3H1,ENSG00000135870,1:174192402_TAAAAAAAAAAAAAAAAA_T,OA,NA,1,174192402,149041,protein_coding,200967,1,3,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,abnormal vertebral column morphology,NA,NA,NA,NA,0
RP11-160H22.5,ENSG00000227373,1:174192402_TAAAAAAAAAAAAAAAAA_T,OA,NA,1,174192402,NA,lincRNA,63260,1,3,_coloc_MetaXcan_,NA,NA,NA,NA,gtex7_colon_transverse;gtex7_thyroid,-,gtex7_skin_sun_exposed_lower_leg,NA,NA,NA,NA,NA,NA
RABGAP1L,ENSG00000152061,1:174192402_TAAAAAAAAAAAAAAAAA_T,OA,NA,1,174192402,9910,protein_coding,0,1,3,_coloc_,NA,NA,NA,NA,gtex7_esophagus_gastroesophageal_junction;gtex7_esophagus_muscularis,-,-,NA,NA,NA,NA,NA,0
LAMC1,ENSG00000135862,rs11583641,OA_hip,NA,1,183906245,3915,protein_coding,791518,0,4,_DEGProt_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,-0.349455426,0.016939515,0.172672575,0.028752182,0
LAMC2,ENSG00000058085,rs11583641,OA_hip,NA,1,183906245,3918,protein_coding,692210,0,4,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,abnormal pinna cartilage morphology; decreased bone mineral density; abnormal incisor morphology; decreased bone mineral content; enamel pits,NA,NA,NA,NA,"epidermolysis bullosa, junctional|epidermolysis bullosa, junctional|epidermolysis bullosa, junctional|epidermolysis bullosa, junctional|epidermolysis bullosa, junctional"
NCF2,ENSG00000116701,rs11583641,OA_hip,NA,1,183906245,4688,protein_coding,346234,1,4,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,1.008049815,9.98E-05,"granulomatous disease, chronic|granulomatous disease, chronic"
COLGALT2,ENSG00000198756,rs11583641,OA_hip,NA,1,183906245,23127,protein_coding,0,1,4,_coloc_piccolo_MetaXcan_,NA,NA,NA,NA,gtex7_cells_transformed_fibroblasts,gtex7_adrenal_gland,gtex7_spleen;gtex7_thyroid,NA,NA,NA,NA,NA,0
TSEN15,ENSG00000198860,rs11583641,OA_hip,NA,1,183906245,116461,protein_coding,-186867,1,4,Missense_coloc_DEGmRNA,missense_variant,0.2266118,NA,NA,gtex7_brain_nucleus_accumbens_basal_ganglia;gtex7_brain_caudate_basal_ganglia;gtex7_adipose_subcutaneous;gtex7_esophagus_muscularis;gtex7_brain_cerebellum;gtex7_thyroid,-,-,NA,NA,NA,-0.183716381,0.046095087,olivopontocerebellar atrophies
LYPLAL1,ENSG00000143353,rs2820443,OA_kneehip,OA_hip;OA,1,219753509,127018,protein_coding,367302,1,5,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,vertebral fusion,NA,NA,NA,NA,0
RP11-392O17.1,ENSG00000228536,rs2820443,OA_kneehip,OA_hip;OA,1,219753509,NA,lincRNA,120798,1,5,_coloc_,NA,NA,NA,NA,gtex7_skin_sun_exposed_lower_leg,-,-,NA,NA,NA,NA,NA,NA
MARK1,ENSG00000116141,rs2820443,OA_kneehip,OA_hip;OA,1,219753509,4139,protein_coding,-1084294,0,5,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,0.331009511,0.014124909,0
COX20,ENSG00000203667,rs10218792,OA,NA,1,245750932,116228,protein_coding,742573,0,6,_DEGProt_,NA,NA,NA,NA,-,-,-,NA,0.379179881,0.021819242,NA,NA,cytochrome-c oxidase deficiency|cytochrome-c oxidase deficiency|cytochrome-c oxidase deficiency
SMYD3,ENSG00000185420,rs10218792,OA,NA,1,245750932,64754,protein_coding,-919682,0,6,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,-0.183155991,0.036503099,0
TTC27,ENSG00000018699,rs2061027,OA,OA_knee;OA_kneehip,2,33434336,55622,protein_coding,388218,1,7,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,-0.273595847,0.018791367,0
LTBP1,ENSG00000049323,rs2061027,OA,OA_knee;OA_kneehip,2,33434336,4052,protein_coding,0,1,7,_coloc_MetaXcan_Animal-skeletal_,NA,NA,NA,NA,gtex7_artery_tibial,-,gtex7_artery_tibial,abnormal jaw morphology; short mandible; abnormal ulna morphology; abnormal cranium morphology; small basisphenoid bone; abnormal tooth morphology; abnormal radius morphology; abnormal lower incisor morphology; abnormal incisor morphology; decreased bone mineral content; small basioccipital bone; short maxilla,NA,NA,NA,NA,0
FAM98A,ENSG00000119812,rs2061027,OA,OA_knee;OA_kneehip,2,33434336,25940,protein_coding,-390113,1,7,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,-0.217370247,0.003888967,0
MXD1,ENSG00000059728,rs3771501,OA,OA_hip;OA_kneehip,2,70717653,4084,protein_coding,547576,0,8,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,0.498462805,0.003678845,NA
ASPRV1,ENSG00000244617,rs3771501,OA,OA_hip;OA_kneehip,2,70717653,151516,protein_coding,528256,0,8,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,0.546000882,0.011891163,NA
TIA1,ENSG00000116001,rs3771501,OA,OA_hip;OA_kneehip,2,70717653,7072,protein_coding,241861,1,8,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,arthritis,NA,NA,NA,NA,distal myopathies|distal myopathies
PCYOX1,ENSG00000116005,rs3771501,OA,OA_hip;OA_kneehip,2,70717653,51449,protein_coding,209330,1,8,_DEGProt_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,-0.271656903,0.004170334,0.273570094,0.004687421,NA
SNRPG,ENSG00000143977,rs3771501,OA,OA_hip;OA_kneehip,2,70717653,6637,protein_coding,196750,1,8,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,-0.265943512,0.016883974,NA
FAM136A,ENSG00000035141,rs3771501,OA,OA_hip;OA_kneehip,2,70717653,84908,protein_coding,188431,1,8,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,-0.195165858,0.006637061,0
TGFA,ENSG00000163235,rs3771501,OA,OA_hip;OA_kneehip,2,70717653,7039,protein_coding,0,1,8,_coloc_piccolo_Animal-skeletal_,NA,NA,NA,NA,gtex7_brain_cortex;gtex7_brain_amygdala;gtex7_brain_anterior_cingulate_cortex_ba24,PBMC-rv;PBMC-re-rv,-,small mandible,NA,NA,NA,NA,anodontia
ATP6V1B1,ENSG00000116039,rs3771501,OA,OA_hip;OA_kneehip,2,70717653,525,protein_coding,-474908,1,8,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,abnormal type I spiral ligament fibrocytes; thin spiral ligament; abnormal spiral ligament fibrocyte morphology; abnormal type III spiral ligament fibrocytes,NA,NA,NA,NA,"acidosis, renal tubular|hearing loss, sensorineural"
NAGK,ENSG00000124357,rs3771501,OA,OA_hip;OA_kneehip,2,70717653,55577,protein_coding,-589282,0,8,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,-0.223610656,0.00602805,0
DYSF,ENSG00000135636,rs3771501,OA,OA_hip;OA_kneehip,2,70717653,8291,protein_coding,-1196245,0,8,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,0.405442945,0.008826471,"distal myopathies|muscular dystrophies, limb-girdle|distal myopathies|muscular dystrophies, limb-girdle|distal myopathies|distal myopathies|myopathies, structural, congenital"
GLS,ENSG00000115419,rs12470967,OA_knee,OA_kneehip,2,192671981,2744,protein_coding,841703,0,9,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,-0.231122157,0.029877963,0
STAT1,ENSG00000115415,rs12470967,OA_knee,OA_kneehip,2,192671981,6772,protein_coding,786295,0,9,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,abnormal osteoclast differentiation; increased compact bone volume; abnormal osteoblast differentiation; increased compact bone thickness; abnormal tibia morphology; increased bone resorption; increased trabecular bone volume; decreased bone mineral content; increased bone mass; increased osteoclast cell number,NA,NA,NA,NA,"immunologic deficiency syndromes|immunologic deficiency syndromes|immunologic deficiency syndromes|immunologic deficiency syndromes|immunologic deficiency syndromes|immunologic deficiency syndromes|candidiasis, chronic mucocutaneous"
STAT4,ENSG00000138378,rs12470967,OA_knee,OA_kneehip,2,192671981,6775,protein_coding,655659,0,9,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,0.662981663,0.020134453,"lupus erythematosus, systemic|arthritis|lupus erythematosus, systemic|arthritis, juvenile"
BMPR2,ENSG00000204217,rs62182810,OA,NA,2,204387482,659,protein_coding,955008,0,10,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,delayed bone ossification; vertebral transformation; decreased rib number; abnormal sternocostal joint morphology,NA,NA,NA,NA,"pulmonary veno-occlusive disease|pulmonary veno-occlusive disease|familial primary pulmonary hypertension|drug-related side effects and adverse reactions|hypertension, pulmonary"
FAM117B,ENSG00000138439,rs62182810,OA,NA,2,204387482,150864,protein_coding,753002,0,10,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,abnormal bone mineralization,NA,NA,NA,NA,0
ICA1L,ENSG00000163596,rs62182810,OA,NA,2,204387482,130026,protein_coding,650774,0,10,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,-0.227037797,0.036981834,0
CARF,ENSG00000138380,rs62182810,OA,NA,2,204387482,79800,protein_coding,535696,0,10,_coloc_MetaXcan_,NA,NA,NA,NA,gtex7_vagina;gtex7_esophagus_muscularis;gtex7_lung;gtex7_thyroid,-,gtex7_adipose_subcutaneous;gtex7_cells_transformed_fibroblasts;gtex7_heart_atrial_appendage;gtex7_skin_not_sun_exposed_suprapubic,NA,NA,NA,NA,NA,0
WDR12,ENSG00000138442,rs62182810,OA,NA,2,204387482,55759,protein_coding,507961,0,10,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,-0.246880077,0.005428681,0
RAPH1,ENSG00000173166,rs62182810,OA,NA,2,204387482,65059,protein_coding,0,1,10,_piccolo_,NA,NA,NA,NA,-,Macro-re-Listeria,-,NA,NA,NA,NA,NA,0
CTLA4,ENSG00000163599,rs62182810,OA,NA,2,204387482,1493,protein_coding,-351201,1,10,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,joint inflammation,NA,NA,NA,NA,"autoimmune lymphoproliferative syndrome|mycosis fungoides|celiac disease|myasthenia gravis|diabetes mellitus, type 1|hashimoto disease|autoimmune lymphoproliferative syndrome|granulomatosis with polyangiitis"
P4HTM,ENSG00000178467,rs62262139,OA,NA,3,50022049,54681,protein_coding,977462,0,11,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,0.264862017,0.010527271,0
WDR6,ENSG00000178252,rs62262139,OA,NA,3,50022049,11180,protein_coding,968663,0,11,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,-0.147532526,0.022839276,0
IMPDH2,ENSG00000178035,rs62262139,OA,NA,3,50022049,3615,protein_coding,955208,0,11,_DEGProt_,NA,NA,NA,NA,-,-,-,NA,-0.237015091,0.010277587,NA,NA,NA
LAMB2,ENSG00000172037,rs62262139,OA,NA,3,50022049,3913,protein_coding,851498,0,11,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,0.316854997,0.017825323,"pupil disorders|nephrotic syndrome|pupil disorders|nephrotic syndrome|myasthenic syndromes, congenital"
AMT,ENSG00000145020,rs62262139,OA,NA,3,50022049,275,protein_coding,561863,0,11,_MetaXcan_,NA,NA,NA,NA,-,-,gtex7_brain_hypothalamus,NA,NA,NA,NA,NA,"amino acid metabolism, inborn errors|hyperglycinemia, nonketotic|amino acid metabolism, inborn errors|amino acid metabolism, inborn errors"
NICN1,ENSG00000145029,rs62262139,OA,NA,3,50022049,84276,protein_coding,555290,0,11,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,0.320338268,0.003261197,0
DAG1,ENSG00000173402,rs62262139,OA,NA,3,50022049,1605,protein_coding,448998,1,11,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,0.293967285,0.000255546,"walker-warburg syndrome|walker-warburg syndrome|myopathies, structural, congenital|walker-warburg syndrome|muscular dystrophies, limb-girdle"
RNF123,ENSG00000164068,rs62262139,OA,NA,3,50022049,63891,protein_coding,263087,1,11,_coloc_MetaXcan_,NA,NA,NA,NA,gtex7_brain_caudate_basal_ganglia,-,gtex7_adipose_subcutaneous;gtex7_adipose_visceral_omentum;gtex7_brain_amygdala;gtex7_brain_anterior_cingulate_cortex_ba24;gtex7_brain_caudate_basal_ganglia;gtex7_brain_cortex;gtex7_colon_transverse;gtex7_esophagus_muscularis;gtex7_lung;gtex7_thyroid,NA,NA,NA,NA,NA,0
GMPPB,ENSG00000173540,rs62262139,OA,NA,3,50022049,29925,protein_coding,260665,1,11,_MetaXcan_,NA,NA,NA,NA,-,-,gtex7_breast_mammary_tissue;gtex7_esophagus_muscularis,NA,NA,NA,NA,NA,"walker-warburg syndrome|muscular dystrophies|muscular dystrophies, limb-girdle|walker-warburg syndrome|myasthenic syndromes, congenital|walker-warburg syndrome|muscular dystrophies|walker-warburg syndrome"
IP6K1,ENSG00000176095,rs62262139,OA,NA,3,50022049,9807,protein_coding,198074,1,11,_MetaXcan_,NA,NA,NA,NA,-,-,gtex7_brain_hypothalamus,NA,NA,NA,NA,NA,NA
FAM212A,ENSG00000185614,rs62262139,OA,NA,3,50022049,389119,protein_coding,179586,1,11,_MetaXcan_,NA,NA,NA,NA,-,-,gtex7_esophagus_mucosa,NA,NA,NA,NA,NA,0
UBA7,ENSG00000182179,rs62262139,OA,NA,3,50022049,7318,protein_coding,170670,1,11,_MetaXcan_,NA,NA,NA,NA,-,-,gtex7_colon_transverse;gtex7_esophagus_mucosa;gtex7_pancreas;gtex7_skin_sun_exposed_lower_leg;gtex7_small_intestine_terminal_ileum;gtex7_spleen;gtex7_stomach;gtex7_whole_blood,NA,NA,NA,NA,NA,0
CAMKV,ENSG00000164076,rs62262139,OA,NA,3,50022049,79012,protein_coding,114394,1,11,_MetaXcan_,NA,NA,NA,NA,-,-,gtex7_colon_transverse,NA,NA,NA,NA,NA,0
ACTBP13,ENSG00000234667,rs62262139,OA,NA,3,50022049,NA,unitary_pseudogene,107311,1,11,_coloc_MetaXcan_,NA,NA,NA,NA,gtex7_skin_not_sun_exposed_suprapubic;gtex7_skin_sun_exposed_lower_leg,-,gtex7_colon_transverse;gtex7_skin_not_sun_exposed_suprapubic;gtex7_skin_sun_exposed_lower_leg,NA,NA,NA,NA,NA,NA
MST1R,ENSG00000164078,rs62262139,OA,NA,3,50022049,4486,protein_coding,80743,1,11,_coloc_MetaXcan_,NA,NA,NA,NA,gtex7_colon_transverse;gtex7_artery_tibial;gtex7_brain_cerebellar_hemisphere;gtex7_skin_not_sun_exposed_suprapubic;gtex7_nerve_tibial;gtex7_brain_nucleus_accumbens_basal_ganglia;gtex7_brain_anterior_cingulate_cortex_ba24;gtex7_brain_caudate_basal_ganglia;gtex7_brain_cerebellum;gtex7_muscle_skeletal;gtex7_esophagus_mucosa;gtex7_skin_sun_exposed_lower_leg,-,gtex7_brain_caudate_basal_ganglia;gtex7_brain_nucleus_accumbens_basal_ganglia;gtex7_esophagus_mucosa;gtex7_esophagus_muscularis;gtex7_heart_left_ventricle;gtex7_skin_not_sun_exposed_suprapubic;gtex7_skin_sun_exposed_lower_leg,NA,NA,NA,NA,NA,nasopharyngeal neoplasms
CTD-2330K9.3,ENSG00000228008,rs62262139,OA,NA,3,50022049,NA,antisense,67679,1,11,_coloc_MetaXcan_,NA,NA,NA,NA,gtex7_artery_aorta,-,gtex7_artery_aorta;gtex7_thyroid,NA,NA,NA,NA,NA,0
RBM6,ENSG00000004534,rs62262139,OA,NA,3,50022049,10180,protein_coding,0,1,11,_coloc_MetaXcan_,NA,NA,NA,NA,gtex7_pituitary;gtex7_heart_atrial_appendage;gtex7_colon_transverse;gtex7_artery_tibial;gtex7_colon_sigmoid;gtex7_brain_spinal_cord_cervical_c1;gtex7_brain_putamen_basal_ganglia;gtex7_pancreas;gtex7_esophagus_gastroesophageal_junction;gtex7_cells_ebvtransformed_lymphocytes;gtex7_brain_hypothalamus;gtex7_heart_left_ventricle;gtex7_whole_blood;gtex7_adipose_subcutaneous;gtex7_cells_transformed_fibroblasts;gtex7_adipose_visceral_omentum;gtex7_adrenal_gland;gtex7_breast_mammary_tissue;gtex7_skin_not_sun_exposed_suprapubic;gtex7_brain_frontal_cortex_ba9;gtex7_nerve_tibial;gtex7_thyroid;gtex7_small_intestine_terminal_ileum;gtex7_liver;gtex7_prostate;gtex7_esophagus_muscularis;gtex7_brain_nucleus_accumbens_basal_ganglia;gtex7_vagina;gtex7_artery_aorta;gtex7_brain_substantia_nigra;gtex7_brain_hippocampus;gtex7_lung;gtex7_brain_caudate_basal_ganglia;gtex7_artery_coronary;gtex7_brain_cerebellum;gtex7_muscle_skeletal;gtex7_stomach;gtex7_spleen;gtex7_brain_cortex;gtex7_esophagus_mucosa;gtex7_testis;gtex7_uterus;gtex7_skin_sun_exposed_lower_leg;gtex7_minor_salivary_gland;gtex7_ovary,-,gtex7_adipose_subcutaneous;gtex7_adipose_visceral_omentum;gtex7_adrenal_gland;gtex7_artery_aorta;gtex7_artery_coronary;gtex7_artery_tibial;gtex7_brain_anterior_cingulate_cortex_ba24;gtex7_brain_caudate_basal_ganglia;gtex7_brain_cortex;gtex7_brain_hippocampus;gtex7_brain_substantia_nigra;gtex7_breast_mammary_tissue;gtex7_colon_transverse;gtex7_esophagus_gastroesophageal_junction;gtex7_esophagus_muscularis;gtex7_heart_atrial_appendage;gtex7_heart_left_ventricle;gtex7_liver;gtex7_lung;gtex7_minor_salivary_gland;gtex7_muscle_skeletal;gtex7_pituitary;gtex7_prostate;gtex7_skin_not_sun_exposed_suprapubic;gtex7_skin_sun_exposed_lower_leg;gtex7_small_intestine_terminal_ileum;gtex7_spleen;gtex7_stomach;gtex7_thyroid;gtex7_whole_blood,NA,NA,NA,NA,NA,0
RBM5,ENSG00000003756,rs62262139,OA,NA,3,50022049,10181,protein_coding,-134405,1,11,_coloc_,NA,NA,NA,NA,gtex7_esophagus_mucosa,-,-,NA,NA,NA,NA,NA,0
SEMA3F,ENSG00000001617,rs62262139,OA,NA,3,50022049,6405,protein_coding,-204459,1,11,_coloc_MetaXcan_Animal-skeletal_,NA,NA,NA,NA,gtex7_heart_atrial_appendage;gtex7_adipose_visceral_omentum,-,gtex7_adipose_subcutaneous;gtex7_adipose_visceral_omentum;gtex7_artery_aorta;gtex7_heart_atrial_appendage,decreased bone mineral density; abnormal bone structure; decreased rib number; decreased bone mineral content,NA,NA,NA,NA,0
GNAI2,ENSG00000114353,rs62262139,OA,NA,3,50022049,2771,protein_coding,-274738,1,11,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,lumbar vertebral fusion; abnormal sternocostal joint morphology; rib fusion,NA,NA,NA,NA,"tachycardia, ventricular"
IFRD2,ENSG00000214706,rs62262139,OA,NA,3,50022049,7866,protein_coding,-308300,1,11,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,-0.196592306,0.016945263,0
HYAL1,ENSG00000114378,rs62262139,OA,NA,3,50022049,3373,protein_coding,-327763,1,11,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,osteoarthritis; abnormal chondrocyte morphology,NA,NA,NA,NA,mucopolysaccharidoses
HYAL2,ENSG00000068001,rs62262139,OA,NA,3,50022049,8692,protein_coding,-338288,1,11,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,fusion of atlas and odontoid process; abnormal cervical vertebrae morphology; abnormal cranium morphology; abnormal orbit morphology,NA,NA,NA,NA,NA
TMEM115,ENSG00000126062,rs62262139,OA,NA,3,50022049,11070,protein_coding,-374992,1,11,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,0.20979526,0.02257069,NA
