geneid	chr	s1	s2
ENSG00000005700	chr6	82169983	82247754
ENSG00000005801	chr11	3339261	3379222
ENSG00000005810	chr13	77044655	77327050
ENSG00000005812	chr13	76992598	77027195
ENSG00000005882	chr17	50094737	50112152
ENSG00000005884	chr17	50055968	50090481
ENSG00000005889	chrX	24149173	24216255
ENSG00000005893	chrX	120427827	120469365
ENSG00000006007	chr16	19501689	19522145
ENSG00000006015	chr19	18588685	18592336
ENSG00000006025	chr17	47807372	47821834
ENSG00000006042	chr17	32927910	32945106
ENSG00000006118	chr11	60924463	60937159
ENSG00000006125	chr17	35578046	35726409
ENSG00000006194	chr16	3263800	3301401
ENSG00000006282	chr17	50543058	50555852
ENSG00000006327	chr16	3018445	3022383
ENSG00000006432	chr14	70722526	70809534
ENSG00000006451	chr7	39623483	39708124
ENSG00000006453	chr7	98291651	98401068
ENSG00000006459	chr7	140084746	140177035
ENSG00000006468	chr7	13891228	13991425
ENSG00000006530	chr7	141551189	141655244
ENSG00000006534	chr11	68008578	68029282
ENSG00000006576	chr7	77798792	77957503
ENSG00000006607	chr2	241356243	241494841
ENSG00000006625	chr7	30496621	30504844
ENSG00000006652	chr7	112422968	112481017
ENSG00000006695	chr17	14069496	14208677
ENSG00000006704	chr7	74453790	74602604
ENSG00000006712	chr19	39385852	39391195
ENSG00000006715	chr7	38722963	38932394
ENSG00000006744	chr17	12992391	13018187
ENSG00000006756	chrX	2903970	2929351
ENSG00000006757	chrX	7898247	7927739
ENSG00000006831	chr12	1688574	1788678
ENSG00000007047	chr19	45079288	45305283
ENSG00000007080	chr19	17933016	17943991
ENSG00000007168	chr17	2593210	2685615
ENSG00000007202	chr17	28614440	28645454
ENSG00000007237	chr17	9910609	10198551
ENSG00000007255	chr19	45162928	45178237
ENSG00000007341	chr1	112523518	112620825
ENSG00000007372	chr11	31784779	31818062
ENSG00000007376	chr16	784974	788397
ENSG00000007384	chr16	58059	76355
ENSG00000007392	chr16	188969	229463
ENSG00000007520	chr16	1349240	1351911
ENSG00000007541	chr16	566995	584136
ENSG00000007545	chr16	1612325	1677908
ENSG00000007866	chr6	35473597	35497076
ENSG00000007923	chr1	6634168	6701924
ENSG00000008018	chr6	170535117	170553341
ENSG00000008056	chrX	47571898	47619943
ENSG00000008083	chr6	15246296	15522040
ENSG00000008086	chrX	18425583	18653629
ENSG00000008130	chr1	1751232	1780457
ENSG00000008256	chr7	6161776	6272644
ENSG00000008282	chr7	106090503	106112576
ENSG00000008283	chr17	63432304	63446378
ENSG00000008294	chr17	50962174	51120865
ENSG00000008300	chr3	48636469	48662915
ENSG00000008311	chr7	122075647	122144280
ENSG00000008324	chr3	42581840	42595114
ENSG00000008394	chr12	16347142	16609259
ENSG00000008405	chr12	106991364	107093829
ENSG00000008441	chr19	12995608	13098796
ENSG00000008513	chr8	133454848	133571940
ENSG00000008517	chr16	3065297	3082192
ENSG00000008710	chr16	2088710	2135898
ENSG00000008838	chr17	40019097	40061215
ENSG00000008853	chr8	22987417	23020199
ENSG00000008869	chr2	36968383	37084342
ENSG00000008952	chr3	169966635	169998373
ENSG00000008988	chr8	56067295	56074581
ENSG00000009307	chr1	114716913	114758676
ENSG00000009335	chr7	157138913	157269372
ENSG00000009413	chr6	111299028	111483715
ENSG00000009780	chr1	27725979	27763122
ENSG00000009830	chr14	77274956	77320884
ENSG00000009844	chr6	142147162	142224689
ENSG00000009954	chr7	73440398	73522278
ENSG00000010017	chr6	13621498	13711564
ENSG00000010072	chr1	231337104	231355023
ENSG00000010165	chr1	171781664	171814023
ENSG00000010219	chr12	4562204	4615302
ENSG00000010244	chr17	32350117	32381886
ENSG00000010256	chr3	48599002	48610976
ENSG00000010270	chr7	38178222	38230671
ENSG00000010278	chr12	6199715	6238271
ENSG00000010292	chr12	6493356	6531955
ENSG00000010295	chr12	6538375	6556083
ENSG00000010322	chr3	52455118	52493071
ENSG00000010361	chr19	49806869	49817376
ENSG00000010404	chrX	149476990	149521096
ENSG00000010539	chr16	3222325	3236221
ENSG00000010626	chr12	6873569	6914243
ENSG00000010704	chr6	26087281	26098343
ENSG00000010803	chr1	41027200	41242154
ENSG00000010810	chr6	111660332	111873452
ENSG00000010818	chr6	142751467	142956698
ENSG00000011007	chr1	23743155	23762059
ENSG00000011009	chr1	23790970	23795539
ENSG00000011021	chr1	11806096	11843144
ENSG00000011028	chr17	62627401	62693597
ENSG00000011105	chr12	3077355	3286564
ENSG00000011114	chr14	93237550	93333092
ENSG00000011132	chr19	3750819	3761699
ENSG00000011143	chr17	58205437	58219605
ENSG00000011198	chr3	43690108	43734371
ENSG00000011201	chrX	8528874	8732186
ENSG00000011243	chr19	15380048	15419141
ENSG00000011258	chr17	51177425	51260163
ENSG00000011260	chr17	51260528	51297936
ENSG00000011275	chr7	5620047	5781739
ENSG00000011295	chr17	15999380	16045015
ENSG00000011304	chr19	797075	812327
ENSG00000011376	chr3	45388506	45549421
ENSG00000011405	chr11	17077730	17207983
ENSG00000011422	chr19	43646095	43670547
ENSG00000011451	chr19	15419980	15449951
ENSG00000011454	chr9	122940833	123104866
ENSG00000011465	chr12	91140484	91183123
ENSG00000011478	chr19	45692483	45703989
ENSG00000011485	chr19	46346994	46392981
ENSG00000011523	chr2	65056366	65087004
ENSG00000011566	chr2	39249266	39437312
ENSG00000011638	chr16	21158377	21180616
ENSG00000012061	chr19	45407333	45478828
ENSG00000012171	chr3	50267558	50277546
ENSG00000012174	chrX	21839636	21885424
ENSG00000012211	chrX	49175264	49186528
ENSG00000012232	chr8	28600469	28755599
ENSG00000012660	chr6	53267398	53349179
ENSG00000012817	chrY	19703865	19744939
ENSG00000012822	chr12	53708517	53727745
ENSG00000012963	chr14	93207056	93229215
ENSG00000012983	chr14	50418501	50561126
ENSG00000013016	chr2	31234337	31269447
ENSG00000013275	chr19	39971005	39981441
ENSG00000013288	chr4	6575175	6623362
ENSG00000013306	chr17	44319625	44324870
ENSG00000013364	chr16	29820394	29848039
ENSG00000013374	chr7	151341699	151378449
ENSG00000013375	chr6	83161150	83193936
ENSG00000013392	chr6	83193379	83198932
ENSG00000013441	chr2	200853009	200864744
ENSG00000013503	chr12	106357658	106510198
ENSG00000013523	chr14	76786178	76826246
ENSG00000013561	chr5	141958328	141990291
ENSG00000013563	chrX	154401238	154412112
ENSG00000013583	chr12	12974864	13000273
ENSG00000013588	chr12	12890782	12917937
ENSG00000013619	chrX	150361422	150514178
ENSG00000013810	chr4	1721490	1745176
ENSG00000014123	chr6	96521595	96555276
ENSG00000014138	chr11	65261762	65305589
ENSG00000014164	chr8	143437655	143541453
ENSG00000014216	chr11	65180566	65212006
ENSG00000014641	chr2	63588609	63607197
ENSG00000014824	chr4	41990472	42090457
ENSG00000014919	chr10	99711844	99732100
ENSG00000015153	chr12	42157104	42238349
ENSG00000015171	chr10	134465	254637
ENSG00000015475	chr22	17734138	17774770
ENSG00000015532	chr17	50346092	50363138
ENSG00000015676	chr7	44379121	44490880
ENSG00000016864	chr3	52694488	52706032
ENSG00000017260	chr3	130850595	131016712
ENSG00000017483	chrX	48458537	48470256
ENSG00000017797	chr18	9475009	9538116
ENSG00000018189	chr4	70704204	70807315
ENSG00000018408	chr3	149517235	149736714
ENSG00000018510	chr2	177392644	177559299
ENSG00000018610	chrX	119538149	119565408
ENSG00000018699	chr2	32628032	32821051
ENSG00000019144	chr11	118606440	118658038
ENSG00000019485	chr11	45095806	45235110
ENSG00000019549	chr8	48917604	48921740
ENSG00000019991	chr7	81699008	81770438
ENSG00000019995	chr10	124942123	124988189
ENSG00000020129	chr1	35557473	35567274
ENSG00000020181	chr8	37784191	37844896
ENSG00000020256	chr20	52051663	52204308
ENSG00000020426	chr14	60734742	60969953
ENSG00000020577	chr14	54567097	54793315
ENSG00000020922	chr11	94415578	94493908
ENSG00000021574	chr2	32063547	32157637
ENSG00000021645	chr14	78170373	79868290
ENSG00000021762	chr11	3087116	3166739
ENSG00000021776	chr15	34851782	34969839
ENSG00000022267	chrX	136146702	136211359
ENSG00000022277	chr20	56468585	56519449
ENSG00000022556	chr19	54953130	55001142
ENSG00000022567	chr8	141207166	141308305
ENSG00000022840	chr12	120533480	120577594
ENSG00000023041	chr10	112424428	112446917
ENSG00000023171	chr11	123358428	123627774
ENSG00000023191	chr11	494512	507300
ENSG00000023228	chr2	206114817	206159603
ENSG00000023287	chr8	52622456	52745843
ENSG00000023318	chr9	99979179	100099040
ENSG00000023330	chr3	52198086	52214327
ENSG00000023516	chr13	42272153	42323267
ENSG00000023572	chr1	193090866	193106114
ENSG00000023608	chr14	61762357	61796428
ENSG00000023697	chr12	15911172	16037282
ENSG00000023734	chr12	15882391	15903478
ENSG00000023902	chr1	150149183	150164720
ENSG00000023909	chr1	93885205	93909456
ENSG00000024048	chr6	42564062	42693504
ENSG00000024422	chr19	47713343	47743134
ENSG00000024862	chr6	138773509	138793319
ENSG00000025039	chr6	89364636	89412270
ENSG00000025156	chr6	122399546	122433119
ENSG00000025293	chr20	35771974	35950381
ENSG00000025423	chr12	56752161	56787790
ENSG00000025708	chr22	50525752	50530056
ENSG00000025770	chr22	50508216	50523472
ENSG00000025772	chr20	44942130	44960486
ENSG00000025796	chr6	107867756	107958189
ENSG00000025800	chr1	32108038	32176568
ENSG00000026025	chr10	17228259	17237593
ENSG00000026103	chr10	88990582	89015785
ENSG00000026297	chr6	166929504	166957191
ENSG00000026508	chr11	35138870	35232402
ENSG00000026559	chr20	51003656	51023129
ENSG00000026652	chr6	161129979	161274061
ENSG00000026950	chr6	26402237	26415216
ENSG00000027001	chr13	23730189	23889419
ENSG00000027697	chr6	137197484	137219449
ENSG00000027847	chr5	177600100	177610347
ENSG00000028116	chr2	57907651	58159920
ENSG00000028203	chr12	95217746	95302790
ENSG00000028310	chr5	850291	892824
ENSG00000028528	chr15	64094123	64146090
ENSG00000028839	chr6	133952170	133990432
ENSG00000029153	chr12	27332854	27425289
ENSG00000029363	chr6	136256627	136289851
ENSG00000029364	chr14	69398015	69462388
ENSG00000029534	chr8	41653220	41896762
ENSG00000029639	chr6	155257509	155314493
ENSG00000029725	chr17	5282265	5385812
ENSG00000029993	chrX	150980509	150990775
ENSG00000030066	chr11	47778087	47848555
ENSG00000030110	chr6	33572547	33580293
ENSG00000030582	chr17	44345086	44353102
ENSG00000031003	chr5	137937960	138051961
ENSG00000031081	chr3	119294373	119420714
ENSG00000031698	chr1	109213918	109238169
ENSG00000031823	chr19	5916139	5978142
ENSG00000032219	chr14	58298385	58373887
ENSG00000032389	chr2	3188925	3377882
ENSG00000032444	chr19	7534004	7561764
ENSG00000032742	chr13	20567069	20691437
ENSG00000033011	chr16	5033960	5087379
ENSG00000033030	chr12	122471600	122501073
ENSG00000033050	chr7	151212490	151227230
ENSG00000033100	chr7	151232489	151238827
ENSG00000033170	chr14	65410592	65744121
ENSG00000033178	chr4	67612652	67701179
ENSG00000033327	chr11	78215297	78418348
ENSG00000033627	chr17	42458844	42522611
ENSG00000033800	chr15	68054179	68198603
ENSG00000033867	chr3	27372721	27484420
ENSG00000034053	chr15	28884483	29118315
ENSG00000034152	chr17	21284672	21315240
ENSG00000034510	chr2	84905625	84906675
ENSG00000034533	chr3	131013875	131027649
ENSG00000034677	chr8	100257060	100336218
ENSG00000034693	chr6	143450807	143490010
ENSG00000034713	chr16	75566351	75577881
ENSG00000035115	chr2	217730	266398
ENSG00000035141	chr2	70295975	70302090
ENSG00000035403	chr10	73995193	74121363
ENSG00000035681	chr8	58583504	58659844
ENSG00000035687	chr1	244408494	244452134
ENSG00000035862	chr17	78852977	78925387
ENSG00000035928	chr4	39287456	39366375
ENSG00000036054	chr3	100261000	100325251
ENSG00000036257	chr2	224470150	224585397
ENSG00000036549	chr1	77562416	77683419
ENSG00000037042	chr17	42659305	42667006
ENSG00000037241	chr5	172958729	172969771
ENSG00000037474	chr5	6599239	6633291
ENSG00000037637	chr1	16246839	16352454
ENSG00000037749	chr5	154038906	154220478
ENSG00000037757	chr19	13764532	13774282
ENSG00000037897	chr12	57768471	57772793
ENSG00000037965	chr12	54009106	54012362
ENSG00000038002	chr4	177430770	177442503
ENSG00000038210	chr4	25233975	25279092
ENSG00000038219	chr4	13568738	13627723
ENSG00000038274	chr5	163503114	163519336
ENSG00000038295	chr4	165873258	166103895
ENSG00000038358	chr16	67873023	67884503
ENSG00000038382	chr5	14143702	14532128
ENSG00000038427	chr5	83471465	83582303
ENSG00000038532	chr16	10944488	11182189
ENSG00000039123	chr5	55307760	55425581
ENSG00000039319	chr5	80408013	80479350
ENSG00000039523	chr16	67518418	67546788
ENSG00000039560	chr5	34656237	34832627
ENSG00000039650	chr19	49859882	49878351
ENSG00000040199	chr16	71637835	71724701
ENSG00000040275	chr5	169583634	169604778
ENSG00000040341	chr8	73420369	73747708
ENSG00000040487	chr1	19312326	19329300
ENSG00000040531	chr17	3636468	3661542
ENSG00000040633	chr17	7235028	7239722
ENSG00000040933	chr2	98444854	98594390
ENSG00000041357	chr15	78540405	78552419
ENSG00000041802	chr3	194640788	194672477
ENSG00000041880	chr3	51942345	51948867
ENSG00000041982	chr9	115019578	115118257
ENSG00000041988	chr1	6624866	6635586
ENSG00000042088	chr14	89954939	90044768
ENSG00000042286	chr10	70098223	70132934
ENSG00000042317	chr14	88384924	88470350
ENSG00000042445	chr2	85342088	85354620
ENSG00000042493	chr2	85394748	85418432
ENSG00000042753	chr19	46838136	46850992
ENSG00000042832	chr8	132866958	133134903
ENSG00000042980	chr8	24294040	24359018
ENSG00000043093	chr3	182938074	182985953
ENSG00000043143	chr5	134524312	134583230
ENSG00000043514	chr1	39841022	39883511
ENSG00000044090	chr6	43037617	43053945
ENSG00000044115	chr5	138610967	138935034
ENSG00000044446	chrX	18892300	18984598
ENSG00000044459	chr9	17134982	17503923
ENSG00000044574	chr9	125234853	125241330
ENSG00000046604	chr18	31498043	31549008
ENSG00000046647	chrX	14008279	14029893
ENSG00000046651	chrX	13734745	13769353
ENSG00000047056	chr10	1049538	1132297
ENSG00000047188	chr5	113513683	113595285
ENSG00000047230	chrX	16588003	16712936
ENSG00000047249	chr8	53715557	53843558
ENSG00000047315	chr4	56977722	57031168
ENSG00000047346	chr15	52581317	52709817
ENSG00000047365	chr4	35948221	36244509
ENSG00000047410	chr1	186311652	186375693
ENSG00000047578	chr16	27550133	27780369
ENSG00000047579	chr6	15522801	15663058
ENSG00000047621	chr12	4487728	4538508
ENSG00000047634	chrX	17737449	17754988
ENSG00000047644	chrX	10015562	10144478
ENSG00000047849	chr3	47850690	48089272
ENSG00000047932	chr6	117560269	117602542
ENSG00000048028	chr11	113797874	113875570
ENSG00000048140	chr5	176647387	176659054
ENSG00000048162	chr5	176383938	176388975
ENSG00000048342	chr4	15469865	15601557
ENSG00000048392	chr8	102204502	102239118
ENSG00000048405	chr7	127346790	127431924
ENSG00000048471	chr16	11976737	12574289
ENSG00000048540	chr12	16548373	16610594
ENSG00000048544	chr6	42206801	42217865
ENSG00000048649	chr11	77659996	77821017
ENSG00000048707	chr1	12230032	12512047
ENSG00000048740	chr10	10798397	11336675
ENSG00000048828	chr9	93451722	93566107
ENSG00000048991	chr2	135531455	135725270
ENSG00000049167	chr5	60873831	60945073
ENSG00000049192	chr5	65148736	65481920
ENSG00000049239	chr1	9234775	9271337
ENSG00000049245	chr1	7771269	7781432
ENSG00000049323	chr2	32946972	33399509
ENSG00000049449	chr11	32090904	32105755
ENSG00000049541	chr7	74231499	74254458
ENSG00000049618	chr6	156777374	157210779
ENSG00000049656	chr5	1317744	1345099
ENSG00000049759	chr18	58044367	58401540
ENSG00000049769	chrX	49269843	49301461
ENSG00000049860	chr5	74640023	74722647
ENSG00000049883	chr5	72320367	72368395
ENSG00000050130	chr14	59484443	59505410
ENSG00000050165	chr11	11963106	12009769
ENSG00000050327	chr7	144355288	144380632
ENSG00000050393	chr6	13786557	13814568
ENSG00000050405	chr12	50175788	50283546
ENSG00000050426	chr12	51047962	51060424
ENSG00000050438	chr12	51391317	51515763
ENSG00000050555	chr9	131009082	131094473
ENSG00000050748	chr5	180233143	180292099
ENSG00000050820	chr16	75228187	75268053
ENSG00000051009	chr11	6211335	6234711
ENSG00000051108	chr16	56932048	56944863
ENSG00000051128	chr19	18929201	18941261
ENSG00000051382	chr3	138652699	138834938
ENSG00000051523	chr16	88643283	88651152
ENSG00000051596	chr5	175917873	176034680
ENSG00000051620	chr6	138403531	138422197
ENSG00000051825	chr12	123152320	123244014
ENSG00000052126	chr12	19129752	19376400
ENSG00000052723	chr1	114769479	114780685
ENSG00000052749	chr10	97356358	97426076
ENSG00000052795	chr4	158769138	158908049
ENSG00000052802	chr4	165327623	165343160
ENSG00000052841	chr11	43358932	43494933
ENSG00000053254	chr14	89124871	89619149
ENSG00000053371	chr1	19303965	19312146
ENSG00000053372	chr1	19251539	19260128
ENSG00000053501	chr19	17215346	17219829
ENSG00000053747	chr18	23689443	23955066
ENSG00000053770	chr14	57268909	57298742
ENSG00000053900	chr4	25377213	25418498
ENSG00000054116	chr1	36136570	36156053
ENSG00000054118	chr1	36224416	36305357
ENSG00000054148	chr9	136848724	136851027
ENSG00000054267	chr1	235131634	235328219
ENSG00000054277	chr1	241590102	241677376
ENSG00000054282	chr1	243256034	243500092
ENSG00000054356	chr2	219289623	219309648
ENSG00000054392	chr1	210328252	210676296
ENSG00000054523	chr1	10210805	10381603
ENSG00000054611	chr22	46762617	47175699
ENSG00000054654	chr14	63852983	64226433
ENSG00000054793	chr20	51596514	51768634
ENSG00000054965	chr11	73400487	73598189
ENSG00000054967	chr11	73376264	73397474
ENSG00000054983	chr14	87837820	87993665
ENSG00000055044	chr2	202265716	202303666
ENSG00000055070	chr1	16352575	16398145
ENSG00000055130	chr7	148697914	148801036
ENSG00000055147	chr5	153990128	154038936
ENSG00000055163	chr5	157266079	157395595
ENSG00000055208	chr6	149218641	149411613
ENSG00000055211	chr6	149566294	149591748
ENSG00000055332	chr2	37099210	37157065
ENSG00000055483	chr17	78787381	78841441
ENSG00000055609	chr7	152134922	152436005
ENSG00000055917	chr2	20248691	20352234
ENSG00000055950	chr10	100969458	100987515
ENSG00000056050	chr4	169729465	169757953
ENSG00000056097	chr5	32354350	32444761
ENSG00000056586	chr9	122844556	122905341
ENSG00000056972	chr6	111556454	111606278
ENSG00000056998	chrX	2828788	2882820
ENSG00000057019	chr3	98795941	98901689
ENSG00000057252	chr1	179293714	179358680
ENSG00000057294	chr12	32790745	32896840
ENSG00000057608	chr10	5765223	5842132
ENSG00000057663	chr6	106045423	106325791
ENSG00000057704	chr12	94567124	94650562
ENSG00000057757	chr1	23778405	23788232
ENSG00000057935	chr2	42494569	42756947
ENSG00000058056	chr3	179652755	179789401
ENSG00000058063	chr3	182793500	182921635
ENSG00000058085	chr1	183186238	183244900
ENSG00000058091	chr7	90466424	91210590
ENSG00000058262	chr3	128051641	128071683
ENSG00000058272	chr12	79773563	79935460
ENSG00000058453	chr1	16740273	16972979
ENSG00000058600	chr16	22297375	22335103
ENSG00000058668	chr1	203626561	203744081
ENSG00000058729	chr5	97160867	97183260
ENSG00000058799	chr1	53851719	53889834
ENSG00000058804	chr1	53765460	53838860
ENSG00000059122	chr16	2911937	2951208
ENSG00000059145	chr16	1363205	1414751
ENSG00000059573	chr10	95605929	95656706
ENSG00000059588	chr1	234391313	234479103
ENSG00000059691	chr4	151670504	151761023
ENSG00000059728	chr2	69897688	69942945
ENSG00000059758	chr12	96278261	96400560
ENSG00000059769	chr9	111631352	111654351
ENSG00000059804	chr12	7919230	7936275
ENSG00000059915	chr10	102402617	102421539
ENSG00000060069	chr18	79679801	79756623
ENSG00000060138	chr12	10699089	10723312
ENSG00000060237	chr12	752593	911452
ENSG00000060339	chr10	68721012	68792377
ENSG00000060491	chr20	62804835	62814000
ENSG00000060642	chr1	26787472	26798398
ENSG00000060656	chr1	29236516	29326813
ENSG00000060688	chr1	31259568	31296782
ENSG00000060718	chr1	102876467	103108872
ENSG00000060749	chr11	32893178	32993316
ENSG00000060762	chr6	166364919	166383013
ENSG00000060971	chr3	38103129	38137242
ENSG00000060982	chr12	24810022	24949459
ENSG00000061273	chr12	47782722	47833132
ENSG00000061337	chr8	20246165	20303963
ENSG00000061455	chr5	123089121	123194266
ENSG00000061676	chr2	182909115	183038858
ENSG00000061794	chr12	27710773	27756295
ENSG00000061918	chr4	155758992	155807591
ENSG00000061936	chr12	131711081	131799737
ENSG00000061938	chr3	195863364	195911945
ENSG00000061987	chr12	62466817	62600479
ENSG00000062038	chr16	68636189	68722616
ENSG00000062194	chr5	57173948	57264679
ENSG00000062370	chr19	44326555	44367217
ENSG00000062485	chr12	56271699	56300392
ENSG00000062598	chr20	46366049	46432985
ENSG00000062650	chr10	86435256	86521815
ENSG00000062716	chr17	59707192	59842255
ENSG00000062725	chr17	60443149	60526219
ENSG00000062822	chr19	50384204	50418016
ENSG00000063046	chr12	53006158	53042209
ENSG00000063169	chr19	47608196	47703277
ENSG00000063176	chr19	48619291	48630717
ENSG00000063177	chr19	48615328	48619536
ENSG00000063241	chr19	55452985	55462343
ENSG00000063244	chr19	55654146	55674715
ENSG00000063245	chr19	55675226	55709858
ENSG00000063322	chr19	39391303	39400637
ENSG00000063587	chrX	153334155	153360110
ENSG00000063601	chrX	150692971	150765103
ENSG00000063660	chr2	240435671	240468078
ENSG00000063761	chr14	77800083	77935012
ENSG00000063854	chr16	1795620	1827194
ENSG00000063978	chr4	2462220	2625320
ENSG00000064012	chr2	201233443	201287711
ENSG00000064042	chr4	41359607	41700044
ENSG00000064102	chr12	26905181	26938326
ENSG00000064115	chr12	26973195	27014434
ENSG00000064225	chr3	98732236	98821201
ENSG00000064309	chr11	125955796	126063335
ENSG00000064313	chr8	119730775	119832863
ENSG00000064393	chr7	139561570	139777778
ENSG00000064419	chr7	128954180	129055173
ENSG00000064490	chr19	19192229	19201869
ENSG00000064545	chr19	19119169	19138513
ENSG00000064601	chr20	45890144	45898820
ENSG00000064607	chr19	18990888	19034023
ENSG00000064651	chr5	128083766	128189688
ENSG00000064652	chr5	122843439	123029354
ENSG00000064666	chr19	1026581	1039068
ENSG00000064687	chr19	1040101	1065572
ENSG00000064692	chr5	122311354	122464219
ENSG00000064703	chr1	111755245	111768016
ENSG00000064726	chr15	83016422	83067354
ENSG00000064932	chr19	1107636	1174283
ENSG00000064933	chr2	189784085	189877629
ENSG00000064961	chr19	3572777	3579088
ENSG00000064995	chr6	34877778	34888089
ENSG00000064999	chr6	34889265	35091413
ENSG00000065000	chr19	2100988	2164468
ENSG00000065029	chr6	35258909	35295985
ENSG00000065054	chr16	2025356	2039026
ENSG00000065057	chr16	2039815	2047866
ENSG00000065060	chr6	34792015	34883138
ENSG00000065135	chr1	109548611	109618321
ENSG00000065150	chr13	97953658	98024297
ENSG00000065154	chr10	124397303	124418976
ENSG00000065183	chr1	117929720	117966542
ENSG00000065243	chr1	88684222	88836255
ENSG00000065268	chr19	984271	998438
ENSG00000065308	chr6	52497402	52576915
ENSG00000065325	chr17	9822206	9892102
ENSG00000065357	chr12	55927319	55954027
ENSG00000065413	chr2	196967017	197311173
ENSG00000065427	chr16	75627474	75648643
ENSG00000065457	chr16	75596981	75623300
ENSG00000065485	chr3	123067062	123225227
ENSG00000065491	chr6	37257772	37332970
ENSG00000065518	chr3	120596309	120602500
ENSG00000065526	chr1	15847864	15940460
ENSG00000065534	chr3	123610049	123884331
ENSG00000065548	chr2	186486156	186509363
ENSG00000065559	chr17	12020824	12143830
ENSG00000065600	chr1	212363931	212414901
ENSG00000065613	chr10	103967201	104029233
ENSG00000065615	chr6	83859643	83967424
ENSG00000065665	chr10	12129637	12169961
ENSG00000065717	chr19	2997638	3047635
ENSG00000065802	chr2	238426742	238452250
ENSG00000065809	chr10	14518557	14774897
ENSG00000065833	chr6	83210389	83431071
ENSG00000065882	chr4	37891087	38139175
ENSG00000065883	chr7	39949646	40099580
ENSG00000065911	chr2	74198562	74217565
ENSG00000065923	chrX	46599252	46759172
ENSG00000065970	chr12	8032703	8055503
ENSG00000065978	chr1	42682427	42702349
ENSG00000065989	chr19	10416773	10469631
ENSG00000066027	chr1	212285537	212361863
ENSG00000066044	chr19	7958579	8005659
ENSG00000066084	chr12	50504985	50748667
ENSG00000066117	chr12	50084972	50100712
ENSG00000066135	chr1	43650158	43705515
ENSG00000066136	chr1	40691648	40771603
ENSG00000066322	chr1	43363397	43368074
ENSG00000066379	chr6	30058899	30064909
ENSG00000066422	chr3	101648889	101677495
ENSG00000066427	chr14	92044496	92106625
ENSG00000066455	chr14	92794231	92839963
ENSG00000066468	chr10	121478334	121598458
ENSG00000066557	chr1	70144805	70205620
ENSG00000066583	chr5	129094751	129114028
ENSG00000066629	chr14	99737693	99942060
ENSG00000066651	chr6	125986430	126039276
ENSG00000066654	chr16	20702816	20742084
